Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
Methapyrilene,D008701,91-80-5,Phenylketonurias,MESH:D010661,,PAH|QDPR,6.14,2
carbonyl sulfide,C010063,463-58-1,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,6.13,1
tetradecabromodiphenoxybenzene,C582340,,Phenylketonurias,MESH:D010661,,PAH,6.13,1
Reserpine,D012110,50-55-5,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,6.09,1
SK&F 83959,C080703,80751-85-5,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,6.07,1
GW 501516,C425931,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,6.06,1
Quercetin,D011794,117-39-5,Phenylketonurias,MESH:D010661,,PAH|QDPR,6.06,2
alachlor,C000188,15972-60-8,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,6.05,1
Atazanavir Sulfate,D000069446,,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,6.04,1
Ethylmaleimide,D005033,128-53-0,Phenylketonurias,MESH:D010661,,PAH,6.04,1
Lysophosphatidylcholines,D008244,,Phenylketonurias,MESH:D010661,,PAH,6.04,1
CI 1044,C418118,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,6.01,1
benoxacor,C085163,,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,6.00,1
tungsten carbide,C002802,11130-73-7,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,6.00,1
lactacystin,C067713,133343-34-7,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.91,1
Glycocholic Acid,D006000,475-31-0,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.89,1
Naphthalenes,D009281,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.87,1
diphenylarsinic acid,C493087,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.87,1
Glycodeoxycholic Acid,D006002,360-65-6,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.87,1
Iodides,D007454,,Phenylketonurias,MESH:D010661,,PAH,5.85,1
Glycochenodeoxycholic Acid,D005999,640-79-9,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.83,1
3-(2-hydroxy-4-(2-methylnonan-2-yl)phenyl)cyclohexan-1-ol,C572491,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.82,1
Sarin,D012524,107-44-8,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,5.80,1
oleoyl-estrone,C108709,,Phenylketonurias,MESH:D010661,,PAH,5.80,1
Adenine,D000225,73-24-5,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.78,1
pyrazole,C031280,288-13-1,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.78,1
"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",C472829,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.76,1
Calcimycin,D000001,52665-69-7,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.76,1
Phenobarbital,D010634,50-06-6,Phenylketonurias,MESH:D010661,,PAH|QDPR,5.75,2
bismuth tripotassium dicitrate,C002791,57644-54-9,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.74,1
St. Thomas' Hospital cardioplegic solution,C041711,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.73,1
Superoxides,D013481,11062-77-4,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.73,1
Petroleum,D010578,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.72,1
3-(2-hydroxy-4-(2-methylnonan-2-yl)phenyl)cyclohexan-1-ol,C572491,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.71,1
Acetylcarnitine,D000108,14992-62-2,Phenylketonurias,MESH:D010661,,PAH,5.71,1
Ammonium Chloride,D000643,12125-02-9,Phenylketonurias,MESH:D010661,,PAH|QDPR,5.71,2
"2-methoxy-5-(2',3',4'-trimethoxyphenyl)tropone",C030370,60423-21-4,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.70,1
methylselenic acid,C008493,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.68,1
tallow,C013698,61789-97-7,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.67,1
naphthalene,C031721,91-20-3,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,5.65,1
"lipopolysaccharide, E. coli O26-B6",C433788,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.65,1
Gold,D006046,7440-57-5,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,5.64,1
MT19c compound,C568376,,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,5.64,1
Pilocarpine,D010862,92-13-7,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.62,1
Deoxycholic Acid,D003840,83-44-3,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.62,1
torcetrapib,C483909,,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.61,1
6-hydroxy-5-((p- sulfophenyl)azo)-2-naphthalenesulfonic acid disodium salt,C005842,,Phenylketonurias,MESH:D010661,,PAH,5.61,1
Benztropine,D001590,86-13-5,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.60,1
Chenodeoxycholic Acid,D002635,474-25-9,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.60,1
carbonyl sulfide,C010063,463-58-1,Phenylketonurias,MESH:D010661,,QDPR,5.59,1
NADP,D009249,53-59-8,Phenylketonurias,MESH:D010661,,QDPR,5.59,1
Reserpine,D012110,50-55-5,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.58,1
pseudocumene,C010313,95-63-6,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.57,1
undecane,C022884,1120-21-4,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.57,1
Cobalt,D003035,7440-48-4,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.57,1
fumonisin B1,C056933,116355-83-0,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.55,1
tempol,C001803,2226-96-2,Phenylketonurias,MESH:D010661,,PAH,5.55,1
Ovalbumin,D010047,9006-59-1,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.52,1
coenzyme Q10,C024989,,Phenylketonurias,MESH:D010661,,PAH,5.52,1
SK&F 83959,C080703,80751-85-5,Phenylketonurias,MESH:D010661,,QDPR,5.52,1
Captan,D002215,133-06-2,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.51,1
alachlor,C000188,15972-60-8,Phenylketonurias,MESH:D010661,,QDPR,5.51,1
Levodopa,D007980,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.50,1
perfluoroundecanoic acid,C586085,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.50,1
zinc chloride,C016837,7646-85-7,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.50,1
Oxidopamine,D016627,1199-18-4,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.49,1
Carmustine,D002330,154-93-8,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.49,1
Aconitine,D000157,302-27-2,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.48,1
8-Bromo Cyclic Adenosine Monophosphate,D015124,23583-48-4,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,5.47,1
Methylphenidate,D008774,113-45-1,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.47,1
Tartrazine,D013645,1934-21-0,Phenylketonurias,MESH:D010661,,PAH,5.47,1
Miconazole,D008825,22916-47-8,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.46,1
Olive Oil,D000069463,,Phenylketonurias,MESH:D010661,,PAH,5.46,1
astaxanthine,C005948,472-61-7,Phenylketonurias,MESH:D010661,,PAH,5.45,1
"2,4-diaminotoluene",C010914,95-80-7,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.43,1
"3,4,3',4'-tetrachlorobiphenyl",C028451,,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.41,1
Dietary Fats,D004041,,Phenylketonurias,MESH:D010661,,PAH|QDPR,5.41,2
folpet,C005020,133-07-3,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.40,1
Acetylcholine,D000109,51-84-3,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.39,1
Thiram,D013893,137-26-8,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.39,1
"2-(1H-indazol-4-yl)-6-(4-methanesulfonylpiperazin-1-ylmethyl)-4-morpholin-4-ylthieno(3,2-d)pyrimidine",C532162,,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.37,1
Atazanavir Sulfate,D000069446,,Phenylketonurias,MESH:D010661,,PAH,5.37,1
Dopamine,D004298,51-61-6,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.34,1
Sevoflurane,D000077149,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.33,1
Isotretinoin,D015474,4759-48-2,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,5.32,1
Hydralazine,D006830,86-54-4,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.32,1
afimoxifene,C016601,68392-35-8,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.32,1
Copper Sulfate,D019327,7758-98-7,Phenylketonurias,MESH:D010661,,PAH|QDPR,5.32,2
Zinc Sulfate,D019287,7733-02-0,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,5.31,1
phenanthrene,C031181,85-01-8,Phenylketonurias,MESH:D010661,,PAH,5.31,1
ciprofibrate,C019304,52214-84-3,Phenylketonurias,MESH:D010661,,PAH,5.30,1
Surface-Active Agents,D013501,,Phenylketonurias,MESH:D010661,,PAH,5.29,1
Colchicine,D003078,64-86-8,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.28,1
Mitoxantrone,D008942,65271-80-9,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.28,1
Sarin,D012524,107-44-8,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.28,1
tetraiodothyroacetic acid,C011126,67-30-1,Phenylketonurias,MESH:D010661,,PAH,5.28,1
caffeic acid phenethyl ester,C055494,104594-70-9,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.26,1
Clofibric Acid,D002995,882-09-7,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.26,1
"Water Pollutants, Chemical",D014874,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.26,1
pyrazolanthrone,C432165,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.23,1
"erucylphospho-N,N,N-trimethylpropylammonium",C472787,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.22,1
Zinc Oxide,D015034,1314-13-2,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.21,1
Glycocholic Acid,D006000,475-31-0,Phenylketonurias,MESH:D010661,,PAH,5.21,1
"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine",D015632,28289-54-5,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.20,1
pentabrominated diphenyl ether 100,C517827,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.19,1
1-(2-trifluoromethoxyphenyl)-2-nitroethanone,C576882,,Phenylketonurias,MESH:D010661,,PAH,5.19,1
Glycodeoxycholic Acid,D006002,360-65-6,Phenylketonurias,MESH:D010661,,PAH,5.19,1
Methyl Methanesulfonate,D008741,66-27-3,Phenylketonurias,MESH:D010661,,PAH|QDPR,5.18,2
ursodoxicoltaurine,C031655,,Phenylketonurias,MESH:D010661,,PAH,5.18,1
epoxiconazole,C109476,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.17,1
Clobetasol,D002990,25122-41-2,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.17,1
Clozapine,D003024,5786-21-0,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.17,1
S-2-pentyl-4-pentynoic hydroxamic acid,C513635,,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.17,1
3-(2-hydroxy-4-(2-methylnonan-2-yl)phenyl)cyclohexan-1-ol,C572491,,Phenylketonurias,MESH:D010661,,QDPR,5.17,1
Lycopene,D000077276,502-65-8,Phenylketonurias,MESH:D010661,,PAH,5.17,1
periodate-oxidized adenosine,C027579,34240-05-6,Phenylketonurias,MESH:D010661,,PAH,5.17,1
Methylcholanthrene,D008748,56-49-5,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,5.16,1
Vancomycin,D014640,1404-90-6,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.16,1
"2-methoxy-5-(2',3',4'-trimethoxyphenyl)tropone",C030370,60423-21-4,Phenylketonurias,MESH:D010661,,QDPR,5.16,1
Glycochenodeoxycholic Acid,D005999,640-79-9,Phenylketonurias,MESH:D010661,,PAH,5.16,1
cyproconazole,C093628,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.15,1
Glutathione,D005978,70-18-8,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.15,1
Demecolcine,D003703,477-30-5,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.15,1
Ciguatoxins,D002922,11050-21-8,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.12,1
Dihydrotestosterone,D013196,521-18-6,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,5.11,1
Trinitrobenzenesulfonic Acid,D014302,2508-19-2,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.11,1
Folic Acid,D005492,59-30-3,Phenylketonurias,MESH:D010661,,HPH1|QDPR,5.11,2
"indeno(1,2,3-cd)pyrene",C041508,193-39-5,Phenylketonurias,MESH:D010661,,PAH,5.11,1
Resveratrol,D000077185,,Phenylketonurias,MESH:D010661,,PAH|QDPR,5.11,2
alpha-Chlorohydrin,D000517,96-24-2,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.09,1
Caffeine,D002110,58-08-2,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.09,1
pirinixic acid,C006253,50892-23-4,Phenylketonurias,MESH:D010661,,PAH|QDPR,5.09,2
Thioctic Acid,D008063,62-46-4,Phenylketonurias,MESH:D010661,,PAH,5.09,1
Mitomycin,D016685,50-07-7,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.07,1
nitrofen,C007350,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.07,1
Pilocarpine,D010862,92-13-7,Phenylketonurias,MESH:D010661,,QDPR,5.07,1
Vancomycin,D014640,1404-90-6,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.06,1
Benztropine,D001590,86-13-5,Phenylketonurias,MESH:D010661,,QDPR,5.06,1
bis(tri-n-butyltin)oxide,C005961,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.05,1
Flavonoids,D005419,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.05,1
Finasteride,D018120,98319-26-7,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.05,1
Carbon Tetrachloride,D002251,56-23-5,Phenylketonurias,MESH:D010661,,PAH|QDPR,5.04,2
n-butoxyethanol,C017096,111-76-2,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.03,1
nitrosobenzylmethylamine,C014707,937-40-6,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.03,1
vinylidene chloride,C029297,75-35-4,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,5.03,1
3-(4'-hydroxy-3'-adamantylbiphenyl-4-yl)acrylic acid,C472791,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.02,1
Isoproterenol,D007545,7683-59-2,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,5.02,1
fumonisin B1,C056933,116355-83-0,Phenylketonurias,MESH:D010661,,QDPR,5.01,1
methidathion,C005828,950-37-8,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,5.00,1
"2,2',4,4',5-brominated diphenyl ether",C477694,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.00,1
Capsaicin,D002211,404-86-4,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,5.00,1
Vancomycin,D014640,1404-90-6,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,5.00,1
Chlorodiphenyl (54% Chlorine),D020111,11097-69-1,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,4.99,1
"Toxins, Biological",D014118,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,4.99,1
Sodium Selenite,D018038,10102-18-8,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,4.99,1
Fenthion,D005284,55-38-9,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,4.98,1
Antimycin A,D000968,642-15-9,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,4.98,1
Diclofenac,D004008,15307-86-5,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,4.97,1
Captan,D002215,133-06-2,Phenylketonurias,MESH:D010661,,QDPR,4.97,1
triphenyl phosphate,C005445,115-86-6,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,4.96,1
"Antigens, Polyomavirus Transforming",D000952,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,4.96,1
Triiodothyronine,D014284,6893-02-3,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,4.96,1
perfluoroundecanoic acid,C586085,,Phenylketonurias,MESH:D010661,,QDPR,4.96,1
1-methylanthracene,C051246,610-48-0,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,4.95,1
Deoxycholic Acid,D003840,83-44-3,Phenylketonurias,MESH:D010661,,PAH,4.95,1
Diuron,D004237,330-54-1,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,4.94,1
Vanadates,D014638,,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,4.94,1
Aconitine,D000157,302-27-2,Phenylketonurias,MESH:D010661,,QDPR,4.94,1
Atrazine,D001280,1912-24-9,Phenylketonurias,MESH:D010661,,PAH|QDPR,4.94,2
PCI 5002,C568608,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,4.93,1
vinylidene chloride,C029297,75-35-4,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,4.93,1
Chenodeoxycholic Acid,D002635,474-25-9,Phenylketonurias,MESH:D010661,,PAH,4.93,1
monomethylarsonic acid,C020300,124-58-3,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,4.92,1
Miconazole,D008825,22916-47-8,Phenylketonurias,MESH:D010661,,QDPR,4.92,1
"Nanotubes, Carbon",D037742,,Phenylketonurias,MESH:D010661,,PAH|QDPR,4.91,2
Cannabidiol,D002185,13956-29-1,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,4.90,1
N-nitrosomorpholine,C002741,59-89-2,Phenylketonurias,MESH:D010661,,PAH,4.90,1
AZM551248,C547126,,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,4.88,1
vinylidene chloride,C029297,75-35-4,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,4.87,1
S-2-pentyl-4-pentynoic hydroxamic acid,C513635,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,4.86,1
Chlordecone,D007631,143-50-0,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,4.86,1
folpet,C005020,133-07-3,Phenylketonurias,MESH:D010661,,QDPR,4.86,1
4-hydroxy-2-nonenal,C027576,29343-52-0,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,4.85,1
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester,C548651,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,4.84,1
methidathion,C005828,950-37-8,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,4.84,1
