Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
(N-propargyl-(3R) aminoindan-5-yl)-ethyl methyl carbamate,C423264,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.29,1
Floxuridine,D005467,50-91-9,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,6.22,1
Picloram,D010846,1918-02-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.14,1
"arginyl-2,'6'-dimethyltyrosyl-lysyl-phenylalaninamide",C506540,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.11,1
triclopyr,C032742,55335-06-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.11,1
Arsenites,D018053,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.08,1
p-aminophenylarsine oxide,C530734,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.08,1
Hydroxylamine,D019811,7803-49-8,Homocystinuria,MESH:D006712,,CBS,6.04,1
"3,4-dihydrocoumarin",C026308,119-84-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.03,1
Ammonia,D000641,7664-41-7,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,6.02,1
phenylhydrazine,C030299,100-63-0,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,6.02,1
carvone,C006923,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.01,1
nordy,C510003,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.01,1
Riboflavin,D012256,83-88-5,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,6.00,1
Potassium Dichromate,D011192,7778-50-9,Homocystinuria,MESH:D006712,,CBS|MTRR,5.99,3
hexabromocyclododecane,C089796,25637-99-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,5.98,2
diallyl phthalate,C049098,131-17-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.96,1
"O(2)-(2,4-dinitrophenyl) 1-((4-ethoxycarbonyl)piperazin-1-yl)diazen-1-ium-1,2-diolate",C474958,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.96,1
Homocysteine,D006710,454-28-4,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,5.92,1
2-(1-(3-dimethylaminopropyl)-5-methoxyindol-3-yl)-3-(1H-indol-3-yl)maleimide,C465664,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.92,1
GYY 4137,C529376,,Homocystinuria,MESH:D006712,,CBS,5.91,1
Ritodrine,D012312,26652-09-5,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.90,1
8-Hydroxy-2'-Deoxyguanosine,D000080242,88847-89-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.90,1
tomentosin,C454646,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.86,1
methoxyacetic acid,C013598,625-45-6,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,5.84,1
benazepril,C044946,86541-75-5,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.80,1
Endosulfan,D004726,115-29-7,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,5.79,2
Lipopolysaccharides,D008070,,Homocystinuria,MESH:D006712,,CBS|MTRR,5.77,3
cobaltous chloride,C018021,7646-79-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,5.77,2
"tris(1,3-dichloro-2-propyl)phosphate",C016805,13674-87-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,5.76,2
benzo(b)fluorene,C041512,243-17-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.74,1
"Fatty Acids, Omega-3",D015525,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.73,1
Leucovorin,D002955,58-05-9,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.68,1
NCX 4040,C498045,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.67,1
Coal Ash,D060729,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.66,1
retene,C447880,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.64,1
Vitamin B 12,D014805,68-19-9,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.62,1
bifenthrin,C099952,82657-04-3,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.58,1
Vitamin B 12,D014805,68-19-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,5.57,2
monobutyl phthalate,C028577,131-70-4,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,5.54,1
4-hydroxy-equilenin,C065250,81608-60-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.54,1
Copper,D003300,7440-50-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,5.52,2
"7,3'-dihydroxy-4'-methoxyisoflavone",C121707,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.50,1
Ceramides,D002518,,Homocystinuria,MESH:D006712,,CBS,5.49,1
Betaine,D001622,107-43-7,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.49,1
Polyethylene Glycols,D011092,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.49,1
"2,3,7,8-tetrabromodibenzo-4-dioxin",C066841,50585-41-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.49,1
bromfenacoum,C013418,56073-10-0,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,5.47,1
vinclozolin,C025643,50471-44-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,5.45,2
Homocysteine,D006710,454-28-4,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.44,1
Aldehydes,D000447,,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,5.42,1
Acrylonitrile,D000181,107-13-1,Homocystinuria,MESH:D006712,,CBS,5.41,1
Ethoxyquin,D005015,91-53-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.41,1
Olanzapine,D000077152,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.39,1
lanthanum chloride,C028521,10099-58-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.39,1
pyrithione zinc,C010423,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.38,1
cumene hydroperoxide,C007164,80-15-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.37,1
Methylnitronitrosoguanidine,D008769,70-25-7,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.36,1
Methionine,D008715,63-68-3,Homocystinuria,MESH:D006712,,CBS|MTRR,5.34,3
Peroxynitrous Acid,D030421,14691-52-2,Homocystinuria,MESH:D006712,,CBS,5.33,1
Choline,D002794,62-49-7,Homocystinuria,MESH:D006712,,CBS|MTRR,5.32,3
Benzophenanthridines,D053119,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.32,1
antimonite,C061374,39349-74-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.30,1
"endotoxin, Escherichia coli",C044101,67924-63-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.30,1
Retinoids,D012176,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.29,1
Cysteine,D003545,52-90-4,Homocystinuria,MESH:D006712,,CBS,5.28,1
Sulfasalazine,D012460,599-79-1,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.28,1
Caffeine,D002110,58-08-2,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,5.27,1
Pesticides,D010575,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.24,1
phenylhydrazine,C030299,100-63-0,Homocystinuria,MESH:D006712,,CBS,5.23,1
Maneb,D008344,12427-38-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.23,1
Methoprene,D008726,40596-69-8,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.23,1
Ammonia,D000641,7664-41-7,Homocystinuria,MESH:D006712,,MTRR,5.22,2
oxophenylarsine,C029341,637-03-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.21,1
afuresertib,C000593263,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.20,1
dioscin,C019357,19057-60-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.20,1
Styrene,D020058,100-42-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.20,1
Acrylamide,D020106,79-06-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,5.19,2
methyldithiocarbamate,C008435,144-54-7,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.19,1
epoxiconazole,C109476,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.18,1
2-Acetylaminofluorene,D015073,53-96-3,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.17,1
cyproconazole,C093628,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.16,1
artenimol,C039060,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.16,1
isobutyl alcohol,C040507,78-83-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,5.15,2
Gold,D006046,7440-57-5,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.13,1
rottlerin,C085746,82-08-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.13,1
Vanadates,D014638,,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,5.12,1
Vigabatrin,D020888,60643-86-9,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.12,1
astaxanthine,C005948,472-61-7,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.12,1
Olive Oil,D000069463,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.12,1
Methyl Methanesulfonate,D008741,66-27-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,5.11,2
Permethrin,D026023,52645-53-1,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,5.10,1
DEET,D003671,134-62-3,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,5.09,1
triphenyltin,C030665,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.09,1
Ketolides,D048628,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.08,1
"2-amino-14,16-dimethyloctadecan-3-ol",C507616,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.08,1
Oxygen,D010100,7782-44-7,Homocystinuria,MESH:D006712,,CBS|MTRR,5.07,3
Oleanolic Acid,D009828,508-02-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.07,1
Gallic Acid,D005707,149-91-7,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.06,1
Cadmium Chloride,D019256,10108-64-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,5.06,2
lemongrass oil,C052901,8007-02-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.06,1
Particulate Matter,D052638,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,5.05,2
1-aminomethylphosphonic acid,C036423,1066-51-9,Homocystinuria,MESH:D006712,,CBS,5.04,1
methoxyacetic acid,C013598,625-45-6,Homocystinuria,MESH:D006712,,MTRR,5.04,2
Rotenone,D012402,83-79-4,Homocystinuria,MESH:D006712,,CBS|MTRR,5.04,3
S-Adenosylmethionine,D012436,29908-03-0,Homocystinuria,MESH:D006712,,CBS,5.04,1
n-butoxyethanol,C017096,111-76-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.04,1
Proton Pump Inhibitors,D054328,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.04,1
pentanal,C046012,110-62-3,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,5.03,1
propiverine,C015586,60569-19-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.02,1
Uric Acid,D014527,69-93-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.02,1
arsenite,C015001,15502-74-6,Homocystinuria,MESH:D006712,,CBS|MTRR,5.00,3
GW 4064,C412815,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,5.00,1
"Asbestos, Amphibole",D017636,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.00,1
naringenin,C005273,480-41-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,5.00,1
4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole,C090942,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.99,1
Manganese,D008345,7439-96-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.99,2
Pyridostigmine Bromide,D011729,101-26-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.98,1
"Sodium Chloride, Dietary",D017673,,Homocystinuria,MESH:D006712,,CBS,4.97,1
Carbon Tetrachloride,D002251,56-23-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.97,2
Staurosporine,D019311,62996-74-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.97,1
colistinmethanesulfonic acid,C004691,12705-41-8,Homocystinuria,MESH:D006712,,CBS,4.96,1
Superoxides,D013481,11062-77-4,Homocystinuria,MESH:D006712,,CBS,4.96,1
lead chloride,C029891,7758-95-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.96,1
"Fatty Acids, Omega-3",D015525,,Homocystinuria,MESH:D006712,,CBS,4.95,1
propiverine,C015586,60569-19-9,Homocystinuria,MESH:D006712,,CBS,4.95,1
dimethyl phthalate,C024629,131-11-3,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.95,1
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,76150-91-9,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.94,1
Quartz,D011791,14808-60-7,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.94,1
Uranium Compounds,D017974,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.94,1
benoxacor,C085163,,Homocystinuria,MESH:D006712,,CBS,4.93,1
Simvastatin,D019821,79902-63-9,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.93,1
testosterone-3-carboxymethyloxime-bovine serum albumin conjugate,C045037,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.92,1
phenanthrene,C031181,85-01-8,Homocystinuria,MESH:D006712,,CBS,4.91,1
2-tert-butylhydroquinone,C018855,1948-33-0,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.91,1
Pyrogallol,D011748,87-66-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.91,1
bromobenzene,C032036,108-86-1,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.89,1
"N-(2-(1,1'-bicyclopropyl)-2-ylphenyl)-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxamide",C583365,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.89,1
Doxorubicin,D004317,23214-92-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.89,2
Cytarabine,D003561,147-94-4,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.88,1
Indomethacin,D007213,53-86-1,Homocystinuria,MESH:D006712,,CBS|MTRR,4.87,3
Phenobarbital,D010634,50-06-6,Homocystinuria,MESH:D006712,,CBS|MTRR,4.87,3
Atrazine,D001280,1912-24-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.87,2
Diquat,D004178,2764-72-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.87,1
pseudocumene,C010313,95-63-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.87,1
dicyclohexyl phthalate,C036042,84-61-7,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.85,1
procymidone,C035988,32809-16-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.85,1
Arsenic,D001151,7440-38-2,Homocystinuria,MESH:D006712,,CBS|MTRR,4.84,3
Antimony Potassium Tartrate,D000966,28300-74-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.84,1
"Nanotubes, Carbon",D037742,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.84,2
Potassium Dichromate,D011192,7778-50-9,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.83,1
Warfarin,D014859,81-81-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.83,1
Hyaluronic Acid,D006820,9004-61-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.83,1
Nitrogen Dioxide,D009585,10102-44-0,Homocystinuria,MESH:D006712,,CBS,4.82,1
"1,2,5,6-dibenzanthracene",C026486,53-70-3,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.82,1
Clozapine,D003024,5786-21-0,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.82,1
diphenylarsinic acid,C493087,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.81,1
monomethyl phthalate,C517284,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.80,1
Silicon Dioxide,D012822,7631-86-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.80,2
methylmercuric chloride,C004925,115-09-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.79,2
"2,6-dinitrotoluene",C023514,606-20-2,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.78,1
Betaine,D001622,107-43-7,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.78,1
phosphinothricin,C003121,51276-47-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.77,1
Raloxifene Hydrochloride,D020849,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.77,1
cerous chloride,C026690,7790-86-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.77,1
Lipopolysaccharides,D008070,,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.76,1
Phlorhizin,D010695,60-81-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.76,1
alpha-Chlorohydrin,D000517,96-24-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.74,1
Aerosols,D000336,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.74,1
Asbestos,D001194,1332-21-4,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.74,1
"2,4-diaminotoluene",C010914,95-80-7,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.73,1
lead nitrate,C017461,18256-98-9,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.73,1
fipronil,C082360,120068-37-3,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.72,1
Methotrexate,D008727,59-05-2,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.71,1
potassium chromate(VI),C027373,7789-00-6,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.71,1
Venlafaxine Hydrochloride,D000069470,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.71,1
Parathion,D010278,56-38-2,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.69,1
Cyclosporine,D016572,59865-13-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.69,2
Herbicides,D006540,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.69,1
uranyl acetate,C005460,541-09-3,Homocystinuria,MESH:D006712,,CBS,4.67,1
1-nitropyrene,C032668,5522-43-0,Homocystinuria,MESH:D006712,,CBS,4.65,1
bathocuproine sulfonate,C028559,73348-75-1,Homocystinuria,MESH:D006712,,CBS,4.65,1
3-(2-hydroxy-4-(2-methylnonan-2-yl)phenyl)cyclohexan-1-ol,C572491,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.65,1
obeticholic acid,C464660,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.65,1
Aldehydes,D000447,,Homocystinuria,MESH:D006712,,MTRR,4.64,2
"4,4'-diaminodiphenylmethane",C009505,101-77-9,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.64,1
Butyric Acid,D020148,107-92-6,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.64,1
Gasoline,D005742,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC,4.64,2
Herbicides,D006540,,Homocystinuria,MESH:D006712,,CBS,4.63,1
Hydrogen Sulfide,D006862,7783-06-4,Homocystinuria,MESH:D006712,,CBS,4.62,1
Methionine,D008715,63-68-3,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.62,1
Streptozocin,D013311,18883-66-4,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.62,1
Choline,D002794,62-49-7,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.61,1
indole-3-carbinol,C016517,700-06-1,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,4.61,1
"O,O-diethyl O-3,5,6-trichloro-2-pyridyl phosphate",C009618,5598-15-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.60,1
Ursodeoxycholic Acid,D014580,128-13-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,4.60,1
butyraldehyde,C018475,123-72-8,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,4.59,1
Folic Acid,D005492,59-30-3,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,4.58,2
